RAINCOOP,1626,76,1,28,PUNTA CARRETAS,177,DIQUE NACIONAL
CUTCSA,2390,103,1,23,CIUDAD VIEJA,13,CNO MALDONADO KM 16
COETC,2822,404,1,69,PALACIO DE LA LUZ,47,COMPLEJO JUANA DE AM├ëRICA (POR TORRE DE ANTEL)
CUTCSA,1589,14,1,23,CIUDAD VIEJA,24,POCITOS
RAINCOOP,1823,D10,0,16,PARQUE ROOSEVELT,23,CIUDAD VIEJA
CUTCSA,837,141,0,43,8 DE OCTUBRE Y COMERCIO,7,PLAZA INDEPENDENCIA
CUTCSA,461,109,1,7,PLAZA INDEPENDENCIA,16,PARQUE ROOSEVELT
RAINCOOP,1613,21,1,7,PLAZA INDEPENDENCIA,42,PORTONES (POR MALV├ìN NORTE)
CUTCSA,3225,144,1,1,PLAZA ESPA├æA,45,CEMENTERIO DEL NORTE
CUTCSA,3349,G11,1,181,TERMINAL COL├ôN,51,CNO MELILLA
COETC,147,D9,1,23,CIUDAD VIEJA,83,BARRIO MONTERREY
CUTCSA,3389,147,1,22,CIUDADELA,46,COMPLEJO AM├ëRICA
COME,220,582,0,74,PE├æAROL,28,PUNTA CARRETAS
CUTCSA,1311,183,0,66,ESCUELA MAR├ìTIMA,24,POCITOS
CUTCSA,2084,L26,1,32,TERMINAL DEL CERRO,31,CASAB├ô
CUTCSA,3223,141,1,1,PLAZA ESPA├æA,43,8 DE OCTUBRE Y COMERCIO
CUTCSA,366,104,1,7,PLAZA INDEPENDENCIA,16,PARQUE ROOSEVELT
CUTCSA,2082,L23,1,32,TERMINAL DEL CERRO,29,SANTA CATALINA
COETC,3401,G,1,42,PORTONES,38,LA PAZ
CUTCSA,3071,103,1,190,CRIOLLA PARQUE ROOSEVELT,8,LOS AROMOS
CUTCSA,1370,187,1,23,CIUDAD VIEJA,69,PALACIO DE LA LUZ
CUTCSA,840,141,1,11,ADUANA,43,8 DE OCTUBRE Y COMERCIO
CUTCSA,3063,104,0,44,RAMBLA COSTANERA,11,ADUANA
CUTCSA,254,102,1,7,PLAZA INDEPENDENCIA,5,GRUTA DE LOURDES
CUTCSA,640,121,0,28,PUNTA CARRETAS,23,CIUDAD VIEJA
CUTCSA,3376,G8,0,64,HIP├ôDROMO DE LAS PIEDRAS,181,TERMINAL COL├ôN (POR ESCUELAS 154 Y 224)
RAINCOOP,7369,2,0,48,FAUQUET,42,PORTONES
CUTCSA,3049,133,0,40,PLAYA LA COLORADA,23,CIUDAD VIEJA (POR PAJAS BLANCAS)
CUTCSA,242,100,0,3,VILLA FARR├ë,1,PLAZA ESPA├æA
CUTCSA,728,128,1,24,POCITOS,36,NUEVO PAR├ìS
COETC,3304,494,1,70,BUCEO,34,RUTA 1 KM 26 (POR COMPEN)
COETC,8,402,0,19,PLAYA MALV├ìN,23,CIUDAD VIEJA
RAINCOOP,2916,79,0,94,VILLA ESPA├æOLA,23,CIUDAD VIEJA
CUTCSA,2461,103,0,8,LOS AROMOS,11,ADUANA
COETC,28,405,1,56,PARQUE ROD├ô,5,GRUTA DE LOURDES
CUTCSA,1476,60,1,7,PLAZA INDEPENDENCIA,42,PORTONES
CUTCSA,3647,L3,0,181,TERMINAL COL├ôN,67,PASO MOLINO
COETC,2070,L16,1,37,PASO DE LA ARENA,39,PAJAS BLANCAS
CUTCSA,1199,173,0,42,PORTONES,22,CIUDADELA
CUTCSA,2814,158,1,11,ADUANA,5,GRUTA DE LOURDES
CUTCSA,522,110,0,18,PUNTAS DE MACADAM,1,PLAZA ESPA├æA
CUTCSA,231,100,0,2,APARICIO SARAVIA Y LEONARDO DA VINCI,1,PLAZA ESPA├æA
CUTCSA,841,141,0,43,8 DE OCTUBRE Y COMERCIO,11,ADUANA
RAINCOOP,2970,21,0,42,PORTONES,23,CIUDAD VIEJA (POR MALV├ìN NORTE)
CUTCSA,1580,L4,0,89,CNO LA BOYADA Y CNO DE LAS TROPAS,32,TERMINAL DEL CERRO
COETC,7330,L29,0,46,COMPLEJO AM├ëRICA,67,PASO MOLINO
CUTCSA,815,137,1,1,PLAZA ESPA├æA,37,PASO DE LA ARENA
CUTCSA,2162,64,1,11,ADUANA,42,PORTONES (POR MALV├ìN)
RAINCOOP,2971,21,1,23,CIUDAD VIEJA,16,PARQUE ROOSEVELT (POR AV ITALIA)
CUTCSA,7343,195,1,70,BUCEO,177,DIQUE NACIONAL (POR HIP├ôDROMO)
RAINCOOP,2915,79,1,23,CIUDAD VIEJA,94,VILLA ESPA├æOLA
CUTCSA,7449,L15,1,32,TERMINAL DEL CERRO,40,PLAYA LA COLORADA
CUTCSA,3392,174,0,50,AVIACI├ôN CIVIL,28,PUNTA CARRETAS (POR SAINT BOIS)
CUTCSA,3405,148,1,11,ADUANA,50,AVIACI├ôN CIVIL
CUTCSA,1808,180,1,23,CIUDAD VIEJA,6,HIP├ôDROMO
COETC,52,407,0,42,PORTONES,1,PLAZA ESPA├æA
CUTCSA,2667,127,1,11,ADUANA,34,RUTA 1 KM 26
CUTCSA,3336,G6,0,49,HOSPITAL SAINT BOIS,181,TERMINAL COL├ôN
CUTCSA,617,115,1,22,CIUDADELA,21,LUIS BRAILLE
CUTCSA,1541,D8,1,23,CIUDAD VIEJA,14,CNO MALDONADO KM 21
CUTCSA,1167,169,0,61,TOLEDO CHICO,22,CIUDADELA
CUTCSA,1382,188,1,23,CIUDAD VIEJA,69,PALACIO DE LA LUZ
CUTCSA,2384,L37,0,37,PASO DE LA ARENA,32,TERMINAL DEL CERRO
CUTCSA,1384,188,0,69,PALACIO DE LA LUZ,23,CIUDAD VIEJA
CUTCSA,1448,199,1,28,PUNTA CARRETAS,45,CEMENTERIO DEL NORTE
COETC,2955,4,1,1,PLAZA ESPA├æA,73,ESCUELA DE ARMAS Y SERVICIOS
CUTCSA,2208,62,0,24,POCITOS,1,PLAZA ESPA├æA
CUTCSA,3046,133,0,40,PLAYA LA COLORADA,11,ADUANA (POR PAJAS BLANCAS)
CUTCSA,3224,141,0,43,8 DE OCTUBRE Y COMERCIO,1,PLAZA ESPA├æA
CUTCSA,2379,L1,1,37,PASO DE LA ARENA,39,PAJAS BLANCAS (POR BATLLE BERRES)
COETC,141,495,0,39,PAJAS BLANCAS,70,BUCEO
CUTCSA,2076,L17,1,32,TERMINAL DEL CERRO,177,DIQUE NACIONAL
CUTCSA,666,125,1,23,CIUDAD VIEJA,177,DIQUE NACIONAL
RAINCOOP,1630,76,0,177,DIQUE NACIONAL,28,PUNTA CARRETAS
CUTCSA,1453,199,0,45,CEMENTERIO DEL NORTE,28,PUNTA CARRETAS
CUTCSA,621,115,0,21,LUIS BRAILLE,22,CIUDADELA
CUTCSA,2393,60,0,42,PORTONES,23,CIUDAD VIEJA
CUTCSA,3344,G3,0,181,TERMINAL COL├ôN,74,PE├æAROL
CUTCSA,3079,142,1,1,PLAZA ESPA├æA,190,CRIOLLA PARQUE ROOSEVELT
UCOT,3368,329,0,50,AVIACI├ôN CIVIL,28,PUNTA CARRETAS
CUTCSA,2985,133,1,11,ADUANA,40,PLAYA LA COLORADA
COETC,101,456,0,57,MENDOZA E INSTRUCCIONES,11,ADUANA
CUTCSA,1582,L5,0,150,LUIS BATLLE BERRES Y CNO GORI,37,PASO DE LA ARENA
CUTCSA,711,128,1,24,POCITOS,37,PASO DE LA ARENA
CUTCSA,1358,186,0,29,SANTA CATALINA,24,POCITOS
CUTCSA,2460,103,1,11,ADUANA,8,LOS AROMOS
COME,3369,526,1,19,PLAYA MALV├ìN,46,COMPLEJO AM├ëRICA
CUTCSA,585,112,0,20,PUNTA GORDA,11,ADUANA
CUTCSA,372,105,1,7,PLAZA INDEPENDENCIA,16,PARQUE ROOSEVELT
CUTCSA,3045,133,1,11,ADUANA,40,PLAYA LA COLORADA (POR PAJAS BLANCAS)
CUTCSA,2846,169,0,61,TOLEDO CHICO,11,ADUANA
COETC,1,402,1,23,CIUDAD VIEJA,19,PLAYA MALV├ìN
